cell	nCount_SCT	nFeature_SCT	seurat_clusters
X136_158	24027	3667	1
X128_182	23654	5257	2
X124_168	24265	5671	3
X150_165	24677	6074	0
X156_186	25341	5886	1
X136_164	25204	6470	9
X139_184	23749	4238	7
X139_173	23715	4895	6
X127_184	23740	4977	2
X134_188	25140	5043	7
X149_165	24657	6099	0
X151_165	25007	6362	0
X157_177	24154	5998	11
X126_178	24206	5370	0
X132_183	23710	4849	2
X120_176	25007	6222	3
X134_195	25036	6241	0
X158_172	25255	6145	10
X152_172	24840	6029	8
X135_186	25215	5684	7
X139_190	25133	5331	7
X138_159	25099	5853	1
X151_172	24179	5961	8
X133_166	23757	4758	4
X130_176	23822	4694	2
X130_177	23791	5023	2
X136_193	24093	5352	0
X150_183	25119	6222	8
X132_171	23679	5390	13
X120_186	24883	5430	9
X136_171	23771	5476	6
X137_160	23921	5487	3
X149_161	24100	5753	0
X126_167	25234	5625	3
X134_176	23721	5029	6
X128_191	23550	4039	4
X123_177	25148	5586	0
X143_177	25161	5815	5
X149_176	24755	6284	8
X147_174	25130	6442	8
X120_189	23753	4933	9
X139_170	24944	5458	6
X124_185	23821	4857	2
X155_179	25048	6539	11
X122_173	25329	5797	4
X154_190	25158	5985	0
X156_190	25203	5873	0
X146_167	23681	5171	1
X150_190	25172	6295	5
X132_195	25252	5967	3
X148_166	24715	6312	0
X148_160	25169	6300	1
X118_178	23680	4596	3
X151_170	25154	6584	0
X141_174	23670	4435	6
X156_188	25040	6378	0
X155_190	25116	6447	0
X150_163	24723	6075	0
X148_188	25255	6029	5
X159_182	23780	4815	0
X155_191	25143	6105	0
X119_177	23649	4525	4
X133_181	23980	5425	2
X130_163	25093	6336	3
X135_172	25194	6333	6
X149_164	25208	6331	0
X161_179	24994	6398	10
X118_185	24317	5325	9
X147_186	25227	6279	5
X158_177	24130	6049	11
X148_172	25154	6506	8
X132_163	25282	5820	3
X148_176	25046	6569	8
X131_170	24496	5486	2
X142_160	24618	5887	3
X123_180	23750	5414	2
X143_166	25284	5985	4
X123_181	24752	5599	2
X122_178	23702	4952	4
X141_162	24937	5560	4
X160_174	24910	6121	10
X158_173	25160	6513	10
X142_164	25004	6528	4
X128_185	23710	4950	2
X125_181	24397	5730	2
X156_180	24165	5941	5
X132_176	23692	4725	2
X151_173	24969	6390	8
X143_162	23696	5097	3
X123_168	25040	6129	3
X150_189	25167	6008	5
X154_186	25086	5646	5
X123_183	23660	5241	2
X131_163	25140	6492	3
X133_192	23768	4872	1
X133_177	23705	4656	2
X150_179	23978	6017	8
X134_164	25163	6281	9
X119_174	24326	5244	3
X147_162	25077	6436	0
X135_167	25252	6004	6
X129_185	23668	4628	2
X131_178	23985	5347	6
X121_189	23950	5289	9
X136_180	23751	4575	7
X161_181	23678	3802	1
X164_174	25175	6424	10
X131_174	25279	6002	13
X147_190	25185	6008	5
X147_191	24355	5559	0
X131_189	25228	5953	1
X137_159	25066	5789	1
X153_187	24954	6519	5
X145_176	25365	6071	5
X145_188	25129	5585	5
X153_179	25083	6522	11
X152_185	25009	6593	8
X136_161	24116	5475	3
X137_187	25184	4731	12
X125_170	24764	5488	4
X145_174	25343	5855	5
X143_163	25038	6354	4
X165_173	23261	3904	1
X149_181	25184	5979	8
X124_186	23738	4925	2
X138_195	23559	4755	1
X148_162	25143	6519	0
X127_175	23682	5094	0
X158_179	25224	6116	11
X151_174	24975	6477	8
X119_185	25241	5781	9
X161_175	24383	5687	10
X145_172	25296	5965	5
X140_159	25177	6003	1
X136_163	25118	6328	9
X150_170	25074	6392	8
X145_168	24104	5455	5
X156_179	24267	5974	11
X145_189	25289	5664	5
X145_159	23830	4269	1
X128_187	24018	5269	5
X124_178	24237	5454	0
X117_186	23734	5076	9
X150_178	24122	6110	8
X119_193	25253	6143	3
X150_187	25155	6135	5
X124_193	23724	4589	3
X115_183	25174	6509	3
X153_174	25105	6369	5
X148_186	25046	6565	5
X137_162	25089	6053	9
X123_170	23800	4592	3
X147_166	24146	5624	5
X127_165	24497	5859	3
X150_185	25219	5889	8
X158_175	24791	6224	11
X119_188	23879	5185	9
X143_176	23701	5267	5
X126_166	24089	5661	3
X153_183	25197	6545	8
X125_167	25108	6385	3
X118_186	25285	5641	9
X158_181	25166	6615	0
X136_167	25190	6043	3
X133_196	23946	3891	0
X129_167	25330	5822	4
X142_161	24841	6167	3
X134_171	23731	4687	13
X156_177	24151	5982	11
X149_172	24814	6190	8
X148_183	25203	5875	8
X123_194	25143	6381	3
X145_164	24902	6264	4
X134_170	24284	5623	2
X148_165	25266	6048	1
X135_183	24269	5423	7
X127_169	24693	5467	4
X155_181	25160	6144	5
X149_169	25062	6560	6
X154_189	25030	5453	5
X146_160	25072	6321	3
X128_168	24901	6127	4
X154_177	24378	5913	11
X146_191	25290	6028	0
X153_180	24992	6402	11
X158_178	25115	6412	11
X131_184	23863	5298	2
X153_181	25139	6168	8
X149_163	25280	5703	0
X156_173	25239	6221	10
X160_173	25012	6443	10
X151_178	24455	5981	11
X165_174	23779	4664	10
X131_165	25241	5575	4
X134_180	23664	5133	7
X131_172	23646	5301	2
X139_161	25309	5743	3
X154_179	25206	6488	11
X134_165	25298	5861	9
X143_179	23919	5532	5
X148_181	25263	6375	8
X121_186	23788	5363	9
X159_176	25074	6351	11
X165_177	25088	6216	10
X131_169	23867	5404	4
X127_179	24207	5509	2
X134_175	23695	5026	6
X151_191	24095	5327	5
X121_193	25298	5807	3
X136_174	23842	5219	6
X126_192	24169	4254	4
X152_181	25066	6516	8
X143_161	25146	6596	3
X148_178	25015	6536	8
X141_184	23717	4771	7
X126_186	23713	5191	2
X147_182	23837	5471	8
X147_187	25017	6362	5
X152_188	25001	6367	5
X122_185	25223	5381	12
X128_169	24715	5312	4
X149_188	25173	6119	5
X135_169	23941	5273	2
X132_179	23748	5249	2
X123_175	23744	4872	4
X126_179	23970	5478	2
X133_175	23739	5069	2
X137_168	25300	5778	6
X134_159	23604	3608	1
X138_161	25170	5832	3
X128_174	23999	4286	0
X116_186	24067	5271	9
X150_184	25172	6609	8
X148_174	24780	6222	8
X162_180	23740	4956	10
X123_169	24911	6161	3
X130_165	23774	5187	4
X128_167	24825	6097	4
X119_184	25047	5356	9
X141_164	25257	6059	4
X134_192	23726	4979	1
X125_179	24560	5466	2
X156_185	24561	5342	5
X146_165	25073	6407	5
X140_166	25043	6217	5
X151_177	25123	6572	11
X129_180	25040	5567	2
X154_185	25027	6429	8
X132_190	25233	5685	6
X136_190	25013	4421	12
X118_184	24252	5306	9
X146_181	23897	5529	8
X138_189	25148	4778	12
X139_167	25039	5998	12
X142_178	23657	5252	7
X139_164	25273	5848	4
X160_172	25061	6277	10
X158_176	24321	6060	11
X144_181	25339	5782	8
X138_164	24957	6366	9
X134_173	25353	6228	6
X141_171	24260	5352	6
